경기(행사) 일시,구 분,경기(행사) 종류,경기(행사) 내용,주 최,관람인원,수입금(원),사용일수(일)
2011-05-15,,FC서울홈경기,K리그(vs경남),GS스포츠,"26,008","38,325,470",1
2011-05-21,,FC서울홈경기,K리그(vs대구),GS스포츠,"14,817","28,484,710",1
2011-06-11,,FC서울홈경기,K리그(vs포항),GS스포츠,"44,358","43,836,790",1
2011-06-25,,FC서울홈경기,K리그(vs인천),GS스포츠,"15,414","28,239,910",1
2011-07-09,,FC서울홈경기,K리그(vs상주),GS스포츠,"28,034","37,067,540",1
2011-07-23,,FC서울홈경기,K리그(vs광주),GS스포츠,"21,112","33,355,860",1
2011-08-13,,FC서울홈경기,K리그(vs전남),GS스포츠,"19,578","32,073,920",1
2011-08-27,,FC서울홈경기,K리그(vs강원),GS스포츠,"23,945","35,274,070",1
2011-09-18,,FC서울홈경기,K리그(vs부산),GS스포츠,"33,663","44,106,080",1
2011-09-24,,FC서울홈경기,K리그(vs대전),GS스포츠,"30,286","39,204,660",1
2011-10-23,,FC서울홈경기,K리그(vs성남),GS스포츠,"42,921","44,787,080",1
2011-11-19,,FC서울홈경기,K리그(vs울산),GS스포츠,"30,799","42,324,130",1
2012-03-10,,FC서울홈경기,K리그(vs전남),GS스포츠,"18,121","40,170,960",1
2012-03-18,,FC서울홈경기,K리그(vs대전),GS스포츠,"20,415","36,995,250",1
2012-03-25,,FC서울홈경기,K리그(vs전북),GS스포츠,"25,594","49,141,170",1
2012-04-08,,FC서울홈경기,K리그(vs상주),GS스포츠,"9,943","32,888,260",1
2012-04-21,,FC서울홈경기,K리그(vs제주),GS스포츠,"8,061","29,074,670",1
2012-05-05,,FC서울홈경기,K리그(vs포항),GS스포츠,"45,780","56,028,330",1
2012-05-28,,FC서울홈경기,K리그(vs인천),GS스포츠,"30,943","61,736,840",1
2012-06-14,,FC서울홈경기,K리그(vs성남),GS스포츠,"9,122","31,951,920",1
2012-06-24,,FC서울홈경기,K리그(vs울산),GS스포츠,"25,511","39,321,100",1
2012-07-01,,FC서울홈경기,K리그(vs광주),GS스포츠,"8,219","30,559,080",1
2012-07-21,,FC서울홈경기,K리그(vs부산),GS스포츠,"24,450","38,670,100",1
2012-08-04,,FC서울홈경기,K리그(vs강원),GS스포츠,"13,432","33,521,100",1
2012-08-08,,FC서울홈경기,K리그(vs경남),GS스포츠,"7,717","29,750,420",1
2012-08-18,,FC서울홈경기,K리그(vs수원),GS스포츠,"50,487","68,866,820",1
2012-08-26,,FC서울홈경기,K리그(vs대구),GS스포츠,"13,474","32,480,500",1
2012-09-22,,FC서울홈경기,K리그(vs포항),GS스포츠,"17,285","33,791,760",1
2012-10-07,,FC서울홈경기,K리그(vs경남),GS스포츠,"17,568","35,240,890",1
2012-11-04,,FC서울홈경기,K리그(vs수원),GS스포츠,"40,193","54,082,960",1
2012-11-15,,FC서울홈경기,K리그(vs울산),GS스포츠,"7,145","29,521,970",1
2012-11-21,,FC서울홈경기,K리그(vs제주),GS스포츠,"8,507","30,996,310",1
2012-11-25,,FC서울홈경기,K리그(vs전북),GS스포츠,"25,077","55,716,290",1
2012-12-02,,FC서울홈경기,K리그(vs부산),GS스포츠,"19,968","35,956,970",1
2013-03-02,,FC서울홈경기,K리그 클래식(vs포항),GS스포츠,"18,536","57,232,390",1
2013-03-09,,FC서울홈경기,K리그 클래식(vs인천),GS스포츠,"15,931","34,743,730",1
2013-03-30,,FC서울홈경기,K리그 클래식(vs경남),GS스포츠,"15,146","35,133,950",1
2013-04-06,,FC서울홈경기,K리그 클래식(vs울산),GS스포츠,"9,277","29,385,090",1
2013-04-20,,FC서울홈경기,K리그 클래식(vs대구),GS스포츠,"10,089","28,174,130",1
2013-04-28,,FC서울홈경기,K리그 클래식(vs강원),GS스포츠,"16,897","34,547,890",1
2013-06-01,,FC서울홈경기,K리그 클래식(vs전남),GS스포츠,"22,647","38,192,750",1
2013-06-23,,FC서울홈경기,K리그 클래식(vs부산),GS스포츠,"17,623","35,948,120",1
2013-07-07,,FC서울홈경기,K리그 클래식(vs성남),GS스포츠,"12,967","32,070,850",1
2013-07-31,,FC서울홈경기,K리그 클래식(vs제주),GS스포츠,"13,811","32,428,900",1
2013-08-03,,FC서울홈경기,K리그 클래식(vs수원),GS스포츠,"43,485","55,968,680",1
2013-08-15,,FC서울홈경기,K리그 클래식(vs대전),GS스포츠,"14,229","34,357,580",1
2013-08-28,,FC서울홈경기,K리그 클래식(vs전북),GS스포츠,"17,313","36,696,200",1
2013-09-11,,FC서울홈경기,K리그 클래식(vs포항),GS스포츠,"7,582","28,806,490",1
2013-10-20,,FC서울홈경기,K리그 클래식(vs울산),GS스포츠,"15,185","32,004,350",1
2013-11-02,,FC서울홈경기,K리그 클래식(vs수원),GS스포츠,"25,583","42,302,370",1
2013-11-17,,FC서울홈경기,K리그 클래식(vs인천),GS스포츠,"13,305","31,644,230",1
2013-11-20,,FC서울홈경기,K리그 클래식(vs전북),GS스포츠,"5,307","28,136,110",1
2013-11-24,,FC서울홈경기,K리그 클래식(vs부산),GS스포츠,"16,946","33,527,290",1
2014-03-08,,FC서울홈경기,K리그 클래식(vs전남),GS스포츠,"13,674","38,254,820",1
2014-03-23,,FC서울홈경기,K리그 클래식(vs부산),GS스포츠,"16,460","38,900,410",1
2014-03-26,,FC서울홈경기,K리그 클래식(vs제주),GS스포츠,"6,872","31,282,850",1
2014-04-06,,FC서울홈경기,K리그 클래식(vs전북),GS스포츠,"22,662","48,405,350",1
2014-04-12,,FC서울홈경기,K리그 클래식(vs경남),GS스포츠,"12,497","35,535,660",1
2014-04-20,,FC서울홈경기,K리그 클래식(vs포항),GS스포츠,"13,554","35,771,030",1
2014-05-18,,FC서울홈경기,K리그 클래식(FC서울 vs 성남),GS스포츠,"18,636","39,765,780",1
2014-07-12,,FC서울홈경기,K리그 클래식(vs수원),GS스포츠,"46,549","81,453,860",1
2014-07-23,,FC서울홈경기,K리그 클래식(vs상주),GS스포츠,"7,803","32,702,270",1
2014-08-06,,FC서울홈경기,K리그 클래식(vs울산),GS스포츠,"12,551","29,422,030",1
2014-08-16,,FC서울홈경기,K리그 클래식(vs인천),GS스포츠,"24,027","41,640,640",1
2014-08-31,,FC서울홈경기,K리그 클래식(vs제주),GS스포츠,"14,493","37,256,390",1
2014-09-13,,FC서울홈경기,K리그 클래식(vs인천),GS스포츠,"17,345","41,513,490",1
2014-09-24,,FC서울홈경기,K리그 클래식(vs경남),GS스포츠,"4,336","28,589,420",1
2014-10-05,,FC서울홈경기,K리그 클래식(vs수원),GS스포츠,"41,300","59,449,530",1
2014-10-26,,FC서울홈경기,K리그 클래식(vs부산),GS스포츠,"17,039","37,553,900",1
2014-11-02,,FC서울홈경기,K리그 스플릿(vs전북),GS스포츠,"10,990","32,273,960",1
2014-11-16,,FC서울홈경기,K리그 스플릿(vs울산),GS스포츠,"14,836","35,270,500",1
2014-11-26,,FC서울홈경기,K리그 스플릿(vs포항),GS스포츠,"7,636","29,186,230",1
2015-03-14,K리그,K리그 클래식,K리그 클래식(vs전북),GS스포츠,32516,53033020,1
2015-04-04,K리그,K리그 클래식,K리그 클래식-4R(vs제주),GS스포츠,22155,44383420,1
2015-04-15,K리그,K리그 클래식,K리그 클래식-6R(vs대전),GS스포츠,7186,32039255,1
