일시,구 분,경기(행사) 종류,경기(행사) 내용,주 최,관람인원,수입금(원),사용일수(일),지점,지점명,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
2011-05-15,,FC서울홈경기,K리그(vs경남),GS스포츠,26008,38325470,1,108,서울,17.2,13,2356,22.9,1421,,,,,,,12.9,230,1127,8.8,230,1603,4.3,3716,230,5.7,21,920,50,9.4,1001.8,1013.6,2355,1008.5,1650,1011.8,14.2,8.5,1300,2.98,22.29,,,,,,3.6,0.3,22.1,6.1,19.6,19.2,18.5,18.1,16.1,14.5,13.3,11.8,13.2,4.5,6.4,,{햇무리}1020-1110. {연무}1720-{연무}{강도0}1800-{연무}{강도0}2100-2215. {박무}2210-{박무}{강도0}2400-,
2011-05-21,,FC서울홈경기,K리그(vs대구),GS스포츠,14817,28484710,1,108,서울,14.5,12.6,1817,17.7,1131,7.75,0.5,1546,1.3,1514,2,9,290,1452,5.1,320,1455,1.8,1514,20,12,63,1100,85.1,14.1,1001.8,1014.1,2322,1010.6,540,1011.9,14.3,0,1000,0.65,3.64,,,,,,9.9,7.6,15.8,11.4,16.6,16.9,17,17.5,17.1,15.4,14,12.1,13.1,0.4,0.7,1.9,-{비}-0020. {비}0050-0140. {비}0340-0430. {비}0855-{비}{강도0}0900-0915. {비}1315-{비}{강도0}1500-{비}{강도0}1800-1830. {비}1945-1955. -{박무}-{박무}{강도1}0300-{박무}{강도1}0600-{박무}{강도0}0900-1020. {박무}1230-{박무}{강도0}1500-1620.,
2011-06-11,,FC서울홈경기,K리그(vs포항),GS스포츠,44358,43836790,1,108,서울,24,20.6,542,29.2,1334,0.08,0,,0,,0,9.3,270,1519,6.2,270,1521,2.6,2274,270,11.3,33,1148,45.8,13.4,994,1005.5,2228,1001.8,356,1003.7,14.7,13.1,1200,3.21,26.24,,,,,,2.5,1,30.1,15.2,26,25.1,23.7,22.8,20.9,18.8,17,13.4,13.4,5.2,6.8,,-{박무}-0010. -{비}-0005.,
2011-06-25,,FC서울홈경기,K리그(vs인천),GS스포츠,15414,28239910,1,108,서울,18.3,17.5,929,20,1214,15,4.5,1355,9,1335,37,12.7,90,2340,6.8,70,2343,4.8,4179,70,15.6,74,111,84.9,17.7,1000.2,1011.4,1012,1008.2,30,1010.2,14.8,0,1000,0.8,5.38,,,,,,10,6.5,18.6,16.4,19.6,20.1,20.4,21.2,22.5,21.1,19.1,14.3,13.5,0.1,0.2,52.5,{비}0155-0225. {비}0345-0430. {비}0605-0615. {비}0805-{비}{강도0}0900-1025. {비}1245-{비}{강도1}1500-{비}{강도0}1800-{비}{강도0}2100-{비}{강도0}2400- {박무}1340-{박무}{강도0}1500-1515.,
2011-07-09,,FC서울홈경기,K리그(vs상주),GS스포츠,28034,37067540,1,108,서울,23.6,20.8,517,27.8,1732,9,2,217,6,2331,15,6,70,1057,3.5,70,1137,1.8,1522,70,20.5,63,1729,83.5,24.2,998.1,1010.3,2400,1005.8,116,1007.9,14.6,1.3,1500,1.69,10.47,,,,,,8,5.8,24.9,21.2,24.7,24.6,24.3,24.2,24.3,23,21.8,17.6,15.1,1.7,2.4,0.5,-{뇌전}-0010. -{비}-{비}{강도1}0300-0520. {비}0650-{비}{강도0}0900-1030. -{박무}-{박무}{강도1}0300-{박무}{강도0}0600-{박무}{강도0}0900-1140. {박무}2250-{박무}{강도0}2400-,
2011-07-23,,FC서울홈경기,K리그(vs광주),GS스포츠,21112,33355860,1,108,서울,25.4,22.9,202,29.7,1445,1,2.5,26,3,25,3,7.4,290,1744,4.7,270,1847,2.4,2101,270,20.8,56,1445,76.3,24.5,997.5,1008.4,1030,1005.7,1700,1007.1,14.4,2.1,1400,2.28,13.83,,,,,,8.5,7.9,27.9,23,27.7,27.5,27.2,27.1,26.3,24.4,22.9,18.8,15.9,1.7,2.7,0.5,-{박무}-{박무}{강도1}0300-{박무}{강도1}0600-{박무}{강도0}0900-{박무}{강도0}1200-1210. {소나기}0025-{비}0050-0105. {안개비}0250-{안개비}{강도0}0300-0310. {연무}1205-{연무}{강도0}1500-{연무}{강도0}1800-{연무}{강도0}2100-2115. {박무}2110-{박무}{강도0}2400-,
2011-08-13,,FC서울홈경기,K리그(vs전남),GS스포츠,19578,32073920,1,108,서울,25.3,23.9,219,26.6,858,8.58,2.5,1850,4,1810,6.5,8.8,200,1516,5.5,200,1520,2.3,1956,70,22.3,72,900,83.9,26.9,994.7,1005.7,2141,1003.4,1742,1004.4,13.7,0,800,0.73,4.48,,,,,,9.5,7,25.8,23,25.8,25.9,25.8,26.2,26.7,25.5,24.6,21,17.5,1.6,2.1,15,{비}0045-0135. {비}0925-{비}{강도0}1200-1325. {비}1420-{비}{강도0}1500-1520. {비}1810-2020. {비}2125-2140. {비}2325-2345. {박무}1940-{박무}{강도0}2100-2350.,
2011-08-27,,FC서울홈경기,K리그(vs강원),GS스포츠,23945,35274070,1,108,서울,27.6,23.5,513,31.2,1609,,,,,,,6.7,70,123,4.2,70,124,2.3,2024,70,18.8,45,1250,59.5,21.7,1004.6,1015.9,0,1012.6,1706,1014.3,13.2,5.5,1100,2.66,18.46,,,,,,6.3,5.9,31.5,20.7,29.7,29.3,28.4,28,26.3,25.1,24.4,20.9,17.8,4.1,5.4,,,
2011-09-18,,FC서울홈경기,K리그(vs부산),GS스포츠,33663,44106080,1,108,서울,21,17.5,2400,26.4,1429,2.17,0.5,308,0.5,220,0.5,12.8,50,2018,7.2,70,2025,3.9,3361,70,13.3,43,1540,63,15.6,1002.6,1016.1,2239,1008.9,127,1012.5,12.4,3.9,1100,2.51,14.79,,,,,,8,6.9,24.9,16.6,25.8,26.1,26,26.3,25.4,24.7,24.1,21,18.2,3,5,0,{비}0220-{비}{강도0}0300-0430.,
2011-09-24,,FC서울홈경기,K리그(vs대전),GS스포츠,30286,39204660,1,108,서울,19.6,14.4,608,25.9,1544,,,,,,,8.8,230,1618,6.3,230,1626,2.4,2085,70,9.8,27,1553,55.9,12.2,1008.8,1020.5,2221,1017,237,1018.8,12.1,10.7,1100,2.58,18.68,,,,,,0.5,0.5,24,8.8,22.4,22.7,22.7,23,22.9,24,24,21.3,18.5,3.4,5.1,,{연무}2120-2330. {박무}2325-{박무}{강도0}2400-,
