일시,구 분,경기(행사) 종류,경기(행사) 내용,주 최,관람인원,수입금(원),사용일수(일),지점,지점명,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
2011-05-04,,FC서울홈경기,ACL(vs알아인),GS스포츠,23593,36821430,2.0,108,서울,15.9,10.6,547,21.8,1534.0,,,,,,,6.3,70.0,1428.0,3.8,70.0,1433.0,1.5,1313.0,20.0,2.0,19.0,1523.0,41.5,7.1,1004.7,1016.5,948,1013.1,1703.0,1014.8,13.8,5.3,1400.0,2.56,17.4,,,,,,5.5,0.1,18.2,3.2,16.8,16.4,15.9,15.6,14.0,12.6,11.8,11.4,13.3,2.6,3.8,,{햇무리}1120-1340.,
2011-05-15,,FC서울홈경기,K리그(vs경남),GS스포츠,26008,38325470,1.0,108,서울,17.2,13.0,2356,22.9,1421.0,,,,,,,12.9,230.0,1127.0,8.8,230.0,1603.0,4.3,3716.0,230.0,5.7,21.0,920.0,50.0,9.4,1001.8,1013.6,2355,1008.5,1650.0,1011.8,14.2,8.5,1300.0,2.98,22.29,,,,,,3.6,0.3,22.1,6.1,19.6,19.2,18.5,18.1,16.1,14.5,13.3,11.8,13.2,4.5,6.4,,{햇무리}1020-1110. {연무}1720-{연무}{강도0}1800-{연무}{강도0}2100-2215. {박무}2210-{박무}{강도0}2400-,
2011-05-18,,FC서울홈경기,FA컵(vs용인시청),GS스포츠,3733,6504670,1.0,108,서울,20.5,13.8,501,25.4,1427.0,0.33,0.0,,0.0,,0.0,11.0,200.0,1852.0,7.3,250.0,1836.0,3.4,2916.0,230.0,6.6,31.0,1059.0,40.9,9.9,1001.4,1012.9,716,1009.4,1736.0,1011.2,14.3,6.7,1200.0,2.33,18.87,,,,,,6.6,2.5,24.0,6.2,20.9,20.5,19.7,19.3,16.6,14.9,13.6,11.9,13.2,4.0,6.3,0.4,{비}2155-2215.,
2011-05-21,,FC서울홈경기,K리그(vs대구),GS스포츠,14817,28484710,1.0,108,서울,14.5,12.6,1817,17.7,1131.0,7.75,0.5,1546.0,1.3,1514.0,2.0,9.0,290.0,1452.0,5.1,320.0,1455.0,1.8,1514.0,20.0,12.0,63.0,1100.0,85.1,14.1,1001.8,1014.1,2322,1010.6,540.0,1011.9,14.3,0.0,1000.0,0.65,3.64,,,,,,9.9,7.6,15.8,11.4,16.6,16.9,17.0,17.5,17.1,15.4,14.0,12.1,13.1,0.4,0.7,1.9,-{비}-0020. {비}0050-0140. {비}0340-0430. {비}0855-{비}{강도0}0900-0915. {비}1315-{비}{강도0}1500-{비}{강도0}1800-1830. {비}1945-1955. -{박무}-{박무}{강도1}0300-{박무}{강도1}0600-{박무}{강도0}0900-1020. {박무}1230-{박무}{강도0}1500-1620.,
2011-05-25,,FC서울홈경기,ACL(vs가시마 엔틀러스),GS스포츠,12725,32208280,2.0,108,서울,22.7,16.7,549,28.2,1438.0,,,,,,,7.6,50.0,1451.0,4.1,70.0,1205.0,1.7,1441.0,70.0,8.1,23.0,1343.0,41.4,10.9,1004.8,1016.0,0,1013.3,1446.0,1014.7,14.4,1.3,1400.0,1.9,14.23,,,,,,7.8,2.1,24.7,9.5,22.3,21.7,20.9,20.4,17.8,15.8,14.5,12.3,13.2,2.4,4.0,0.0,,
2011-06-11,,FC서울홈경기,K리그(vs포항),GS스포츠,44358,43836790,1.0,108,서울,24.0,20.6,542,29.2,1334.0,0.08,0.0,,0.0,,0.0,9.3,270.0,1519.0,6.2,270.0,1521.0,2.6,2274.0,270.0,11.3,33.0,1148.0,45.8,13.4,994.0,1005.5,2228,1001.8,356.0,1003.7,14.7,13.1,1200.0,3.21,26.24,,,,,,2.5,1.0,30.1,15.2,26.0,25.1,23.7,22.8,20.9,18.8,17.0,13.4,13.4,5.2,6.8,,-{박무}-0010. -{비}-0005.,
2011-06-25,,FC서울홈경기,K리그(vs인천),GS스포츠,15414,28239910,1.0,108,서울,18.3,17.5,929,20.0,1214.0,15.0,4.5,1355.0,9.0,1335.0,37.0,12.7,90.0,2340.0,6.8,70.0,2343.0,4.8,4179.0,70.0,15.6,74.0,111.0,84.9,17.7,1000.2,1011.4,1012,1008.2,30.0,1010.2,14.8,0.0,1000.0,0.8,5.38,,,,,,10.0,6.5,18.6,16.4,19.6,20.1,20.4,21.2,22.5,21.1,19.1,14.3,13.5,0.1,0.2,52.5,{비}0155-0225. {비}0345-0430. {비}0605-0615. {비}0805-{비}{강도0}0900-1025. {비}1245-{비}{강도1}1500-{비}{강도0}1800-{비}{강도0}2100-{비}{강도0}2400- {박무}1340-{박무}{강도0}1500-1515.,
2011-07-09,,FC서울홈경기,K리그(vs상주),GS스포츠,28034,37067540,1.0,108,서울,23.6,20.8,517,27.8,1732.0,9.0,2.0,217.0,6.0,2331.0,15.0,6.0,70.0,1057.0,3.5,70.0,1137.0,1.8,1522.0,70.0,20.5,63.0,1729.0,83.5,24.2,998.1,1010.3,2400,1005.8,116.0,1007.9,14.6,1.3,1500.0,1.69,10.47,,,,,,8.0,5.8,24.9,21.2,24.7,24.6,24.3,24.2,24.3,23.0,21.8,17.6,15.1,1.7,2.4,0.5,-{뇌전}-0010. -{비}-{비}{강도1}0300-0520. {비}0650-{비}{강도0}0900-1030. -{박무}-{박무}{강도1}0300-{박무}{강도0}0600-{박무}{강도0}0900-1140. {박무}2250-{박무}{강도0}2400-,
2011-07-23,,FC서울홈경기,K리그(vs광주),GS스포츠,21112,33355860,1.0,108,서울,25.4,22.9,202,29.7,1445.0,1.0,2.5,26.0,3.0,25.0,3.0,7.4,290.0,1744.0,4.7,270.0,1847.0,2.4,2101.0,270.0,20.8,56.0,1445.0,76.3,24.5,997.5,1008.4,1030,1005.7,1700.0,1007.1,14.4,2.1,1400.0,2.28,13.83,,,,,,8.5,7.9,27.9,23.0,27.7,27.5,27.2,27.1,26.3,24.4,22.9,18.8,15.9,1.7,2.7,0.5,-{박무}-{박무}{강도1}0300-{박무}{강도1}0600-{박무}{강도0}0900-{박무}{강도0}1200-1210. {소나기}0025-{비}0050-0105. {안개비}0250-{안개비}{강도0}0300-0310. {연무}1205-{연무}{강도0}1500-{연무}{강도0}1800-{연무}{강도0}2100-2115. {박무}2110-{박무}{강도0}2400-,
2011-08-13,,FC서울홈경기,K리그(vs전남),GS스포츠,19578,32073920,1.0,108,서울,25.3,23.9,219,26.6,858.0,8.58,2.5,1850.0,4.0,1810.0,6.5,8.8,200.0,1516.0,5.5,200.0,1520.0,2.3,1956.0,70.0,22.3,72.0,900.0,83.9,26.9,994.7,1005.7,2141,1003.4,1742.0,1004.4,13.7,0.0,800.0,0.73,4.48,,,,,,9.5,7.0,25.8,23.0,25.8,25.9,25.8,26.2,26.7,25.5,24.6,21.0,17.5,1.6,2.1,15.0,{비}0045-0135. {비}0925-{비}{강도0}1200-1325. {비}1420-{비}{강도0}1500-1520. {비}1810-2020. {비}2125-2140. {비}2325-2345. {박무}1940-{박무}{강도0}2100-2350.,
