경기(행사) 일시,구 분,경기(행사) 내용,주 최,관람인원,수입금(원),사용일수(일)
2011-05-04,ACL,ACL(vs알아인),GS스포츠,23593,36821430,2
2011-05-15,K리그,K리그(vs경남),GS스포츠,26008,38325470,1
2011-05-18,FA컵,FA컵(vs용인시청),GS스포츠,3733,6504670,1
2011-05-21,K리그,K리그(vs대구),GS스포츠,14817,28484710,1
2011-05-25,ACL,ACL(vs가시마 엔틀러스),GS스포츠,12725,32208280,2
2011-06-11,K리그,K리그(vs포항),GS스포츠,44358,43836790,1
2011-06-25,K리그,K리그(vs인천),GS스포츠,15414,28239910,1
2011-07-09,K리그,K리그(vs상주),GS스포츠,28034,37067540,1
2011-07-23,K리그,K리그(vs광주),GS스포츠,21112,33355860,1
2011-08-13,K리그,K리그(vs전남),GS스포츠,19578,32073920,1
2011-08-27,K리그,K리그(vs강원),GS스포츠,23945,35274070,1
2011-09-18,K리그,K리그(vs부산),GS스포츠,33663,44106080,1
2011-09-24,K리그,K리그(vs대전),GS스포츠,30286,39204660,1
2011-09-27,ACL,ACL(vs알이티하드),GS스포츠,14140,38331340,2
2011-10-23,K리그,K리그(vs성남),GS스포츠,42921,44787080,1
2011-11-19,K리그,K리그(vs울산),GS스포츠,30799,42324130,1
2012-03-10,K리그,K리그(vs전남),GS스포츠,18121,40170960,1
2012-03-18,K리그,K리그(vs대전),GS스포츠,20415,36995250,1
2012-03-25,K리그,K리그(vs전북),GS스포츠,25594,49141170,1
2012-04-08,K리그,K리그(vs상주),GS스포츠,9943,32888260,1
2012-04-21,K리그,K리그(vs제주),GS스포츠,8061,29074670,1
2012-05-05,K리그,K리그(vs포항),GS스포츠,45780,56028330,1
2012-05-23,FA컵,FA컵(vs목포시청),GS스포츠,1715,6985590,1
2012-05-28,K리그,K리그(vs인천),GS스포츠,30943,61736840,1
2012-06-14,K리그,K리그(vs성남),GS스포츠,9122,31951920,1
2012-06-20,FA컵,FA컵(vs수원),GS스포츠,14726,36153380,1
2012-06-24,K리그,K리그(vs울산),GS스포츠,25511,39321100,1
2012-07-01,K리그,K리그(vs광주),GS스포츠,8219,30559080,1
2012-07-21,K리그,K리그(vs부산),GS스포츠,24450,38670100,1
2012-08-04,K리그,K리그(vs강원),GS스포츠,13432,33521100,1
2012-08-08,K리그,K리그(vs경남),GS스포츠,7717,29750420,1
2012-08-18,K리그,K리그(vs수원),GS스포츠,50487,68866820,1
2012-08-26,K리그,K리그(vs대구),GS스포츠,13474,32480500,1
2012-09-22,K리그,K리그(vs포항),GS스포츠,17285,33791760,1
2012-10-07,K리그,K리그(vs경남),GS스포츠,17568,35240890,1
2012-11-04,K리그,K리그(vs수원),GS스포츠,40193,54082960,1
2012-11-15,K리그,K리그(vs울산),GS스포츠,7145,29521970,1
2012-11-21,K리그,K리그(vs제주),GS스포츠,8507,30996310,1
2012-11-25,K리그,K리그(vs전북),GS스포츠,25077,55716290,1
2012-12-02,K리그,K리그(vs부산),GS스포츠,19968,35956970,1
2013-02-26,ACL,ACL(vs장쑤 세인티),GS스포츠,6046,19667940,2
2013-03-02,K리그,K리그 클래식(vs포항),GS스포츠,18536,57232390,1
2013-03-09,K리그,K리그 클래식(vs인천),GS스포츠,15931,34743730,1
2013-03-30,K리그,K리그 클래식(vs경남),GS스포츠,15146,35133950,1
