연번,경기(행사) 일시,구 분,경기(행사) 종류,경기(행사) 내용,주 최, 관람인원(명) ,수입금(원),사용일수(일)
1,2015-02-17 19:30,기타축구,ACL,ACL(vs하노이T&T FC),GS스포츠,6718,23835150,3
2,2015-03-04 19:30,기타축구,ACL,ACL(vs가시마앤틀러스),GS스포츠,5790,27579990,2
3,2015-03-14 14:00,K리그,K리그 클래식,K리그 클래식(vs전북),GS스포츠,32516,53033020,1
4,2015-03-18 19:30,기타축구,ACL,ACL(vs웨스턴시드니),GS스포츠,5645,26955470,2
5,2015-03-31 20:00,국가대표,국가대표팀 친선경기,친선경기(vs뉴질랜드),대한축구협회,28574,152907970,3
6,2015-04-04 14:00,K리그,K리그 클래식,K리그 클래식-4R(vs제주),GS스포츠,22155,44383420,1
7,2015-04-15 19:30,K리그,K리그 클래식,K리그 클래식-6R(vs대전),GS스포츠,7186,32039255,1
8,2015-04-21 19:30,기타축구,ACL,ACL(vs광저우에버그란데),GS스포츠,17157,43892170,2
9,2015-04-25 18:00,일반행사,콘서트,토요일을 즐겨라,(주)월드쇼마켓,15246,103347060,6
10,2015-04-29 19:30,기타축구,FA컵,FA컵(vs경주 한수원),GS스포츠,1570,7593370,1
11,2015-05-02 14:00,K리그,K리그 클래식,K리그 클래식-9R(vs성남),GS스포츠,18441,41630820,1
12,2015-05-09,일반행사,콘서트,청춘페스티벌,(주)마이크임팩트,17782,87806150,6
13,2015-05-16 14:00,K리그,K리그 클래식,K리그 클래식-11R(vs전남),GS스포츠,17819,41393340,1
14,2015-05-20 19:30,기타축구,ACL,ACL(vs감바 오사카),GS스포츠,10607,28167540,2
15,2015-05-23 18:00,일반행사,콘서트,2015 드림콘서트,한국연예제작자협회,43780,102612200,5
16,2015-05-31 16:00,K리그,K리그 클래식,K리그 클래식(vs울산),GS스포츠,18413,42976350,1
17,2015-06-03 19:30,K리그,K리그 클래식,K리그 클래식(vs인천),GS스포츠,5023,32334930,1
18,2015-06-13 15:00,기타축구,한일국회의원 친선경기,한일국회의원 친선경기,국회사무처,150,3196090,1
19,2015-06-17 19:30,K리그,K리그 클래식,K리그 클래식(vs부산),GS스포츠,4267,31555280,1
20,2015-06-21 15:00,기타축구,서울컵2015 전기결승,서울컵2015 전기결승,"서울시설공단,GS스포츠",350,0,1
21,2015-06-27 17:00,K리그,K리그 클래식,K리그 클래식(vs수원),GS스포츠,39328,90737710,1
22,2015-07-05 18:00,K리그,K리그 클래식,K리그 클래식(vs광주),GS스포츠,11587,37479390,1
23,2015-07-11 19:00,K리그,K리그 클래식,K리그 클래식(vs포항),GS스포츠,17913,45552070,1
24,2015-07-22 19:30,기타축구,FA컵,FA컵(vs포항),GS스포츠,6267,19542550,1
25,2015-07-25 19:00,K리그,K리그 클래식,K리그 클래식(vs인천),GS스포츠,10454,36730020,1
26,2015-08-15 19:00,일반행사,콘서트,815 국민대합창,KBS,55841,120200130,12
