관중통계(전체현황),,,,,,,,,,,,
"선택항목 : 단체 : K LEAGUE  리그 : 전체  시즌 : 2015,2016,2017,2018,2019  시즌구분  : 전체   구단구분 : 전체     요일 : 전체  경기장  : 잠실올림픽주경기장  undefined :  undefined :",,,,,,,,,,,,
단체,리그,시즌,연도,월,일,요일,홈팀,원정팀,경기장,날씨,평균기온,관중수
KLEAGUE,K LEAGUE 2,2019 시즌,2019,08,31,토,서울 이랜드,부산 아이파크,잠실올림픽주경기장,맑음,28.9℃,4407
KLEAGUE,K LEAGUE 2,2019 시즌,2019,08,24,토,서울 이랜드,안산 그리너스,잠실올림픽주경기장,구름조금,27.3℃,3169
KLEAGUE,K LEAGUE 2,2019 시즌,2019,08,18,일,서울 이랜드,FC 안양,잠실올림픽주경기장,구름조금,30.7℃,2846
KLEAGUE,K LEAGUE 2,2019 시즌,2019,08,12,월,서울 이랜드,수원 FC,잠실올림픽주경기장,비,28.5℃,1609
KLEAGUE,K LEAGUE 2,2019 시즌,2019,08,04,일,서울 이랜드,부천 FC,잠실올림픽주경기장,비,34.4℃,2332
KLEAGUE,K LEAGUE 2,2019 시즌,2019,03,09,토,서울 이랜드,안산 그리너스,잠실올림픽주경기장,구름조금,14.9℃,2710
KLEAGUE,K LEAGUE 2,2019 시즌,2019,03,03,일,서울 이랜드,광주 FC,잠실올림픽주경기장,구름조금,16.1℃,3644
KLEAGUE,K LEAGUE 2,2018 시즌,2018,11,11,일,서울 이랜드,수원 FC,잠실올림픽주경기장,구름많음,10.9℃,1063
KLEAGUE,K LEAGUE 2,2018 시즌,2018,10,27,토,서울 이랜드,,잠실올림픽주경기장,맑음,11.6℃,496
KLEAGUE,K LEAGUE 2,2018 시즌,2018,10,21,일,서울 이랜드,FC 안양,잠실올림픽주경기장,맑음,21.1℃,1181
KLEAGUE,K LEAGUE 2,2018 시즌,2018,09,30,일,서울 이랜드,광주 FC,잠실올림픽주경기장,맑음,21.6℃,720
KLEAGUE,K LEAGUE 2,2018 시즌,2018,09,22,토,서울 이랜드,부천 FC,잠실올림픽주경기장,비,25.5℃,458
KLEAGUE,K LEAGUE 2,2018 시즌,2018,09,03,월,서울 이랜드,성남 FC,잠실올림픽주경기장,비,25.8℃,368
KLEAGUE,K LEAGUE 2,2018 시즌,2018,08,15,수,서울 이랜드,대전 시티즌,잠실올림픽주경기장,비,38℃,490
KLEAGUE,K LEAGUE 2,2018 시즌,2018,08,11,토,서울 이랜드,부산 아이파크,잠실올림픽주경기장,구름조금,36℃,1037
KLEAGUE,K LEAGUE 2,2018 시즌,2018,07,28,토,서울 이랜드,대전 시티즌,잠실올림픽주경기장,비,35.2℃,405
KLEAGUE,K LEAGUE 2,2018 시즌,2018,07,16,월,서울 이랜드,안산 그리너스,잠실올림픽주경기장,맑음,34℃,484
KLEAGUE,K LEAGUE 2,2018 시즌,2018,06,30,토,서울 이랜드,수원 FC,잠실올림픽주경기장,비,27.9℃,1257
KLEAGUE,K LEAGUE 2,2018 시즌,2018,04,29,일,서울 이랜드,안산 그리너스,잠실올림픽주경기장,맑음,22.9℃,505
KLEAGUE,K LEAGUE 2,2018 시즌,2018,04,22,일,서울 이랜드,,잠실올림픽주경기장,비,21℃,421
KLEAGUE,K LEAGUE 2,2018 시즌,2018,04,14,토,서울 이랜드,FC 안양,잠실올림픽주경기장,비,14.8℃,312
KLEAGUE,K LEAGUE 2,2018 시즌,2018,04,08,일,서울 이랜드,성남 FC,잠실올림픽주경기장,비,7.9℃,551
KLEAGUE,K LEAGUE 2,2018 시즌,2018,03,31,토,서울 이랜드,부천 FC,잠실올림픽주경기장,구름조금,20.1℃,753
KLEAGUE,K LEAGUE 2,2018 시즌,2018,03,24,토,서울 이랜드,광주 FC,잠실올림픽주경기장,구름많음,13.1℃,560
KLEAGUE,K LEAGUE 2,2018 시즌,2018,03,11,일,서울 이랜드,부산 아이파크,잠실올림픽주경기장,구름조금,12.2℃,1349
KLEAGUE,K LEAGUE 2,2017 시즌,2017,10,29,일,서울 이랜드,부천 FC,잠실올림픽주경기장,맑음,17.2℃,3317
KLEAGUE,K LEAGUE 2,2017 시즌,2017,09,30,토,서울 이랜드,대전 시티즌,잠실올림픽주경기장,구름조금,25.9℃,1522
KLEAGUE,K LEAGUE 2,2017 시즌,2017,09,24,일,서울 이랜드,부산 아이파크,잠실올림픽주경기장,구름많음,27.9℃,1209
KLEAGUE,K LEAGUE 2,2017 시즌,2017,09,09,토,서울 이랜드,FC 안양,잠실올림픽주경기장,구름조금,28.2℃,757
KLEAGUE,K LEAGUE 2,2017 시즌,2017,08,26,토,서울 이랜드,경남 FC,잠실올림픽주경기장,맑음,29.2℃,1062
KLEAGUE,K LEAGUE 2,2017 시즌,2017,08,23,수,서울 이랜드,,잠실올림픽주경기장,비,30.2℃,631
KLEAGUE,K LEAGUE 2,2017 시즌,2017,08,12,토,서울 이랜드,부천 FC,잠실올림픽주경기장,구름많음,32.6℃,971
KLEAGUE,K LEAGUE 2,2017 시즌,2017,08,06,일,서울 이랜드,성남 FC,잠실올림픽주경기장,비,34℃,1287
KLEAGUE,K LEAGUE 2,2017 시즌,2017,07,30,일,서울 이랜드,안산 그리너스,잠실올림픽주경기장,흐림,32.6℃,802
KLEAGUE,K LEAGUE 2,2017 시즌,2017,07,17,월,서울 이랜드,수원 FC,잠실올림픽주경기장,비,29℃,1008
KLEAGUE,K LEAGUE 2,2017 시즌,2017,07,01,토,서울 이랜드,부산 아이파크,잠실올림픽주경기장,비,30.7℃,1461
KLEAGUE,K LEAGUE 2,2017 시즌,2017,06,26,월,서울 이랜드,대전 시티즌,잠실올림픽주경기장,비,29.9℃,717
KLEAGUE,K LEAGUE 2,2017 시즌,2017,05,06,토,서울 이랜드,FC 안양,잠실올림픽주경기장,맑음,19.3℃,987
KLEAGUE,K LEAGUE 2,2017 시즌,2017,04,30,일,서울 이랜드,,잠실올림픽주경기장,맑음,27.8℃,1695
KLEAGUE,K LEAGUE 2,2017 시즌,2017,04,23,일,서울 이랜드,수원 FC,잠실올림픽주경기장,맑음,21.7℃,1743
KLEAGUE,K LEAGUE 2,2017 시즌,2017,04,01,토,서울 이랜드,성남 FC,잠실올림픽주경기장,비,15.1℃,3068
KLEAGUE,K LEAGUE 2,2017 시즌,2017,03,26,일,서울 이랜드,안산 그리너스,잠실올림픽주경기장,구름많음,11.6℃,2228
KLEAGUE,K LEAGUE 2,2017 시즌,2017,03,12,일,서울 이랜드,경남 FC,잠실올림픽주경기장,흐림,14℃,4531
KLEAGUE,K LEAGUE 2,2016 시즌,2016,10,30,일,서울 이랜드,부산 아이파크,잠실올림픽주경기장,맑음,15.1℃,3060
KLEAGUE,K LEAGUE 2,2016 시즌,2016,10,08,토,서울 이랜드,경남 FC,잠실올림픽주경기장,비,21.8℃,1108
KLEAGUE,K LEAGUE 2,2016 시즌,2016,10,02,일,서울 이랜드,강원 FC,잠실올림픽주경기장,비,22.4℃,536
KLEAGUE,K LEAGUE 2,2016 시즌,2016,09,28,수,서울 이랜드,부천 FC,잠실올림픽주경기장,비,21.8℃,1001
KLEAGUE,K LEAGUE 2,2016 시즌,2016,09,17,토,서울 이랜드,,잠실올림픽주경기장,비,28.2℃,841
KLEAGUE,K LEAGUE 2,2016 시즌,2016,09,11,일,서울 이랜드,FC 안양,잠실올림픽주경기장,구름많음,28.2℃,863
KLEAGUE,K LEAGUE 2,2016 시즌,2016,09,07,수,서울 이랜드,충주 험멜,잠실올림픽주경기장,구름많음,28.6℃,508
