연번,경기(행사) 일시,구 분,경기(행사) 종류,경기(행사) 내용,주 최,관람인원,수입금(원),사용일수(일)
,2011-05-04,,FC서울홈경기,ACL(vs알아인),GS스포츠,23593 ,36821430 ,2
,2011-05-15,,FC서울홈경기,K리그(vs경남),GS스포츠,26008 ,38325470 ,1
,2011-05-18,,FC서울홈경기,FA컵(vs용인시청),GS스포츠,3733 ,6504670 ,1
,2011-05-21,,FC서울홈경기,K리그(vs대구),GS스포츠,14817 ,28484710 ,1
,2011-05-25,,FC서울홈경기,ACL(vs가시마 엔틀러스),GS스포츠,12725 ,32208280 ,2
,2011-05-28,,문화일반행사,2011 드림콘서트,한국연예인제작자협회,35848 ,57010980 ,5
,2011-06-03,,국가대표,친선경기(vs세르비아),대한축구협회,30741 ,149361470 ,2
,2011-06-11,,FC서울홈경기,K리그(vs포항),GS스포츠,44358 ,43836790 ,1
,2011-06-19,,국가대표,올림픽 예선전(vs요르단),대한축구협회,27436 ,122416280 ,2
,2011-06-25,,FC서울홈경기,K리그(vs인천),GS스포츠,15414 ,28239910 ,1
,2011-07-09,,FC서울홈경기,K리그(vs상주),GS스포츠,28034 ,37067540 ,1
,2011-07-23,,FC서울홈경기,K리그(vs광주),GS스포츠,21112 ,33355860 ,1
,2011-08-13,,FC서울홈경기,K리그(vs전남),GS스포츠,19578 ,32073920 ,1
,2011-08-27,,FC서울홈경기,K리그(vs강원),GS스포츠,23945 ,35274070 ,1
,2011-09-06,,문화일반행사,창립 50주년 행사,농협중앙회,40470 ,60050200 ,6
,2011-09-18,,FC서울홈경기,K리그(vs부산),GS스포츠,33663 ,44106080 ,1
,2011-09-24,,FC서울홈경기,K리그(vs대전),GS스포츠,30286 ,39204660 ,1
,2011-09-27,,FC서울홈경기,ACL(vs알이티하드),GS스포츠,14140 ,38331340 ,2
,2011-10-01,,문화일반행사,TBS 행복콘서트,교통방송,25000 ,8070940 ,5
,2011-10-07,,국가대표,평가전(vs우즈베키스탄),대한축구협회,29756 ,161131750 ,2
,2011-10-07,,국가대표,친선경기(vs폴란드),대한축구협회,,,0
,2011-10-14,,문화일반행사,종교행사,순복음교회,66806 ,85489320 ,6
,2011-10-16,,기타축구,하이서울 유소년축구 왕중왕전,서울시,1500 ,2583850 ,1
,2011-10-23,,FC서울홈경기,K리그(vs성남),GS스포츠,42921 ,44787080 ,1
,2011-11-05,,기타축구,전국 초중고 왕중왕전,대한축구협회,7052 ,30952890 ,1
,2011-11-19,,FC서울홈경기,K리그(vs울산),GS스포츠,30799 ,42324130 ,1
,2011-11-27,,국가대표,올림픽 예선전(vs사우디),대한축구협회,22334 ,75922800 ,2
,2012-02-29,,국가대표,월드컵 예선전(vs쿠웨이트),축구협회,40076 ,193904110 ,2
,2012-03-10,,FC서울홈경기,K리그(vs전남),GS스포츠,18121 ,40170960 ,1
,2012-03-14,,국가대표,올림픽 예선전(vs카타르),축구협회,36205 ,74924740 ,2
,2012-03-18,,FC서울홈경기,K리그(vs대전),GS스포츠,20415 ,36995250 ,1
,2012-03-25,,FC서울홈경기,K리그(vs전북),GS스포츠,25594 ,49141170 ,1
,2012-04-08,,FC서울홈경기,K리그(vs상주),GS스포츠,9943 ,32888260 ,1
,2012-04-21,,FC서울홈경기,K리그(vs제주),GS스포츠,8061 ,29074670 ,1
,2012-05-05,,FC서울홈경기,K리그(vs포항),GS스포츠,45780 ,56028330 ,1
,2012-05-06,,문화일반행사,종교행사,워치타워,49004 ,61301780 ,6
,2012-05-12,,문화일반행사,2012 드림콘서트,한국연예인제작자협회,43541 ,72686510 ,7
,2012-05-23,,FC서울홈경기,FA컵(vs목포시청),GS스포츠,1715 ,6985590 ,1
,2012-05-28,,FC서울홈경기,K리그(vs인천),GS스포츠,30943 ,61736840 ,1
,2012-06-14,,FC서울홈경기,K리그(vs성남),GS스포츠,9122 ,31951920 ,1
,2012-06-20,,FC서울홈경기,FA컵(vs수원),GS스포츠,14726 ,36153380 ,1
,2012-06-24,,FC서울홈경기,K리그(vs울산),GS스포츠,25511 ,39321100 ,1
,2012-07-01,,FC서울홈경기,K리그(vs광주),GS스포츠,8219 ,30559080 ,1
,2012-07-05,,기타축구,프로축구올스타전,프로축구연맹,34542 ,158893140 ,2
,2012-07-07,,문화일반행사,슈퍼스타K,CJ E&M,17394 ,50911570 ,3
,2012-07-14,,국가대표,올림픽대표 평가전(vs뉴질랜드),대한축구협회,31509 ,118853840 ,2
,2012-07-21,,FC서울홈경기,K리그(vs부산),GS스포츠,24450 ,38670100 ,1
,2012-08-04,,FC서울홈경기,K리그(vs강원),GS스포츠,13432 ,33521100 ,1
,2012-08-08,,FC서울홈경기,K리그(vs경남),GS스포츠,7717 ,29750420 ,1
,2012-08-18,,FC서울홈경기,K리그(vs수원),GS스포츠,50487 ,68866820 ,1
,2012-08-26,,FC서울홈경기,K리그(vs대구),GS스포츠,13474 ,32480500 ,1
,2012-09-22,,FC서울홈경기,K리그(vs포항),GS스포츠,17285 ,33791760 ,1
,2012-10-07,,FC서울홈경기,K리그(vs경남),GS스포츠,17568 ,35240890 ,1
,2012-11-04,,FC서울홈경기,K리그(vs수원),GS스포츠,40193 ,54082960 ,1
,2012-11-10,,기타축구,전국 초중고 중등부 왕중왕전,대한축구협회,2933 ,23648665 ,1
,2012-11-15,,FC서울홈경기,K리그(vs울산),GS스포츠,7145 ,29521970 ,1
,2012-11-17,,기타축구,전국 초중고 고등부 왕중왕전,대한축구협회,2933 ,23648665 ,1
,2012-11-21,,FC서울홈경기,K리그(vs제주),GS스포츠,8507 ,30996310 ,1
,2012-11-25,,FC서울홈경기,K리그(vs전북),GS스포츠,25077 ,55716290 ,1
,2012-12-02,,FC서울홈경기,K리그(vs부산),GS스포츠,19968 ,35956970 ,1
,2013-02-26,,FC서울홈경기,ACL(vs장쑤 세인티),GS스포츠,6046 ,19667940 ,2
,2013-03-02,,FC서울홈경기,K리그 클래식(vs포항),GS스포츠,18536 ,57232390 ,1
,2013-03-09,,FC서울홈경기,K리그 클래식(vs인천),GS스포츠,15931 ,34743730 ,1
,2013-03-26,,국가대표,월드컵 최종 예선전(vs카타르),대한축구협회,35282 ,143899480 ,2
,2013-03-30,,FC서울홈경기,K리그 클래식(vs경남),GS스포츠,15146 ,35133950 ,1
,2013-04-02,,FC서울홈경기,ACL(vs센다이),GS스포츠,9588 ,21249780 ,2
,2013-04-06,,FC서울홈경기,K리그 클래식(vs울산),GS스포츠,9277 ,29385090 ,1
,2013-04-13,,문화일반행사,싸이 콘서트,서울기획,45099 ,254051510 ,10
,2013-04-20,,FC서울홈경기,K리그 클래식(vs대구),GS스포츠,10089 ,28174130 ,1
,2013-04-28,,FC서울홈경기,K리그 클래식(vs강원),GS스포츠,16897 ,34547890 ,1
,2013-05-01,,FC서울홈경기,ACL(vs부리람 Utd),GS스포츠,7468 ,19818330 ,2
,2013-05-08,,FC서울홈경기,FA컵(vs연세대),GS스포츠,1766 ,6049370 ,1
,2013-05-11,,문화일반행사,2013 드림콘서트,"한국연예제작자협회
",41171 ,76968130 ,4
,2013-05-21,,FC서울홈경기,ACL(vs베이징 궈안),GS스포츠,14288 ,21364400 ,2
,2013-06-01,,FC서울홈경기,K리그 클래식(vs전남),GS스포츠,22647 ,38192750 ,1
,2013-06-11,,국가대표,월드컵 최종 예선전(vs우즈베키스탄),대한축구협회,49361 ,186135070 ,2
,2013-06-21,,기타축구,프로축구올스타전,프로축구연맹,13210 ,74427560 ,2
,2013-06-23,,FC서울홈경기,K리그 클래식(vs부산),GS스포츠,17623 ,35948120 ,1
,2013-06-29,,문화일반행사,슈퍼스타K 5,CJ E&M,15043 ,47204090 ,3
,2013-07-07,,FC서울홈경기,K리그 클래식(vs성남),GS스포츠,12967 ,32070850 ,1
,2013-07-10,,FC서울홈경기,FA컵(vs광주),GS스포츠,3458 ,13865160 ,1
,2013-07-20,,국가대표,동아시안컵,대한축구협회,17740 ,79060270 ,2
,2013-07-21,,국가대표,동아시안컵,대한축구협회,14446 ,56938060 ,2
,2013-07-31,,FC서울홈경기,K리그 클래식(vs제주),GS스포츠,13811 ,32428900 ,1
,2013-08-03,,FC서울홈경기,K리그 클래식(vs수원),GS스포츠,43485 ,55968680 ,1
,2013-08-07,,FC서울홈경기,FA컵(vs부산),GS스포츠,6444 ,16499460 ,1
,2013-08-15,,FC서울홈경기,K리그 클래식(vs대전),GS스포츠,14229 ,34357580 ,1
,2013-08-28,,FC서울홈경기,K리그 클래식(vs전북),GS스포츠,17313 ,36696200 ,1
,2013-09-11,,FC서울홈경기,K리그 클래식(vs포항),GS스포츠,7582 ,28806490 ,1
,2013-09-18,,FC서울홈경기,ACL(vs알 아흘리),GS스포츠,17957 ,27156960 ,2
,2013-09-25,,FC서울홈경기,ACL(vs에스테그랄),GS스포츠,12610 ,23113070 ,2
,2013-10-11,,문화일반행사,종교행사,"여의도순복음교회
",66806 ,83253830 ,5
,2013-10-12,,국가대표,친선경기(vs브라질),대한축구협회,64048 ,396728380 ,2
,2013-10-14,,기타축구,WK-리그 챔피언결정전,"서울시체육회,한국여자축구연맹
",2291 ,12561790 ,1
,2013-10-20,,FC서울홈경기,K리그 클래식(vs울산),GS스포츠,15185 ,32004350 ,1
,2013-10-26,,FC서울홈경기,ACL(vs광저우 에버그란데),GS스포츠,55287 ,89011210 ,2
,2013-11-02,,FC서울홈경기,K리그 클래식(vs수원),GS스포츠,25583 ,42302370 ,1
,2013-11-09,,기타축구,초중고왕중왕전(중등부 결승),대한축구협회,1826 ,18054260 ,1
,2013-11-15,,국가대표,친선경기(한국-스위스),대한축구협회,30693 ,158057660 ,2
,2013-11-16,,기타축구,초중고왕중왕전(고등부 결승),대한축구협회,1821 ,13330240 ,1
,2013-11-17,,FC서울홈경기,K리그 클래식(vs인천),GS스포츠,13305 ,31644230 ,1
,2013-11-20,,FC서울홈경기,K리그 클래식(vs전북),GS스포츠,5307 ,28136110 ,1
,2013-11-24,,FC서울홈경기,K리그 클래식(vs부산),GS스포츠,16946 ,33527290 ,1
,2014-02-25,,FC서울홈경기,ACL(vs센트럴코스트),GS스포츠,6491 ,26247070 ,2
,2014-03-08,,FC서울홈경기,K리그 클래식(vs전남),GS스포츠,13674 ,38254820 ,1
,2014-03-23,,FC서울홈경기,K리그 클래식(vs부산),GS스포츠,16460 ,38900410 ,1
,2014-03-26,,FC서울홈경기,K리그 클래식(vs제주),GS스포츠,6872 ,31282850 ,1
,2014-04-01,,FC서울홈경기,ACL(vs산프레체 히로시마),GS스포츠,8897 ,30223230 ,2
,2014-04-06,,FC서울홈경기,K리그 클래식(vs전북),GS스포츠,22662 ,48405350 ,1
,2014-04-12,,FC서울홈경기,K리그 클래식(vs경남),GS스포츠,12497 ,35535660 ,1
,2014-04-20,,FC서울홈경기,K리그 클래식(vs포항),GS스포츠,13554 ,35771030 ,1
,2014-04-23,,FC서울홈경기,ACL(vs베이징궈안),GS스포츠,9574 ,28938500 ,2
,2014-04-30,,FC서울홈경기,FA컵(vs인천),GS스포츠,3115 ,8851200 ,1
,2014-05-02,,기타축구,시민개방 축구경기,이홍원(가락시장축구동호회),50 ,1020000 ,1
,2014-05-10,,기타축구,2014 서울컵 선데이리그 결승,서울시설공단, - , - ,1
